CategoryID,Category Path
260979,"Abbigliamento e accessori > Bambini > Bambina > Abbigliamento (2-16 anni) > Abbigliamento sportivo > Felpe"
260975,"Abbigliamento e accessori > Bambini > Bambina > Abbigliamento (2-16 anni) > Abbigliamento sportivo > Giacche"
261047,"Abbigliamento e accessori > Bambini > Bambina > Abbigliamento (2-16 anni) > Abbigliamento sportivo > Gonne e skort"
260977,"Abbigliamento e accessori > Bambini > Bambina > Abbigliamento (2-16 anni) > Abbigliamento sportivo > Pantaloncini"
260976,"Abbigliamento e accessori > Bambini > Bambina > Abbigliamento (2-16 anni) > Abbigliamento sportivo > Pantaloni"
260978,"Abbigliamento e accessori > Bambini > Bambina > Abbigliamento (2-16 anni) > Abbigliamento sportivo > Parte alta"
260980,"Abbigliamento e accessori > Bambini > Bambina > Abbigliamento (2-16 anni) > Abbigliamento sportivo > Tute e set"
99735,"Abbigliamento e accessori > Bambini > Bambina > Abbigliamento (2-16 anni) > Biancheria da notte"
153797,"Abbigliamento e accessori > Bambini > Bambina > Abbigliamento (2-16 anni) > Calzini e calze"
51580,"Abbigliamento e accessori > Bambini > Bambina > Abbigliamento (2-16 anni) > Cappotti, giacche e gilet"
156801,"Abbigliamento e accessori > Bambini > Bambina > Abbigliamento (2-16 anni) > Completi e set"
152554,"Abbigliamento e accessori > Bambini > Bambina > Abbigliamento (2-16 anni) > Felpe"
51583,"Abbigliamento e accessori > Bambini > Bambina > Abbigliamento (2-16 anni) > Gonne e skort"
28017,"Abbigliamento e accessori > Bambini > Bambina > Abbigliamento (2-16 anni) > Grembiuli e divise"
51586,"Abbigliamento e accessori > Bambini > Bambina > Abbigliamento (2-16 anni) > Intimo"
77411,"Abbigliamento e accessori > Bambini > Bambina > Abbigliamento (2-16 anni) > Jeans"
152719,"Abbigliamento e accessori > Bambini > Bambina > Abbigliamento (2-16 anni) > Leggings"
51582,"Abbigliamento e accessori > Bambini > Bambina > Abbigliamento (2-16 anni) > Maglioni e cardigan"
51567,"Abbigliamento e accessori > Bambini > Bambina > Abbigliamento (2-16 anni) > Mare e piscina"
15648,"Abbigliamento e accessori > Bambini > Bambina > Abbigliamento (2-16 anni) > Pantaloncini"
51568,"Abbigliamento e accessori > Bambini > Bambina > Abbigliamento (2-16 anni) > Pantaloni"
260965,"Abbigliamento e accessori > Bambini > Bambina > Abbigliamento (2-16 anni) > T-shirt, maglie e camicie"
175528,"Abbigliamento e accessori > Bambini > Bambina > Abbigliamento (2-16 anni) > Tute intere e tutine"
51581,"Abbigliamento e accessori > Bambini > Bambina > Abbigliamento (2-16 anni) > Vestiti"
57920,"Abbigliamento e accessori > Bambini > Bambina > Accessori > Accessori capelli"
15630,"Abbigliamento e accessori > Bambini > Bambina > Accessori > Cappelli"
57918,"Abbigliamento e accessori > Bambini > Bambina > Accessori > Cinture e fibbie"
150956,"Abbigliamento e accessori > Bambini > Bambina > Accessori > Ciondoli e gioielli per scarpe"
57919,"Abbigliamento e accessori > Bambini > Bambina > Accessori > Guanti e muffole"
122340,"Abbigliamento e accessori > Bambini > Bambina > Accessori > Occhiali da sole"
122341,"Abbigliamento e accessori > Bambini > Bambina > Accessori > Ombrelli"
175527,"Abbigliamento e accessori > Bambini > Bambina > Accessori > Portachiavi"
15629,"Abbigliamento e accessori > Bambini > Bambina > Accessori > Portafogli"
57927,"Abbigliamento e accessori > Bambini > Bambina > Accessori > Sciarpe, foulard e scialli"
260016,"Abbigliamento e accessori > Bambini > Bambina > Accessori > Set accessori"
57974,"Abbigliamento e accessori > Bambini > Bambina > Scarpe"
260972,"Abbigliamento e accessori > Bambini > Bambino > Abbigliamento (2-16 anni) > Abbigliamento sportivo > Felpe"
260968,"Abbigliamento e accessori > Bambini > Bambino > Abbigliamento (2-16 anni) > Abbigliamento sportivo > Giacche"
260970,"Abbigliamento e accessori > Bambini > Bambino > Abbigliamento (2-16 anni) > Abbigliamento sportivo > Pantaloncini"
260969,"Abbigliamento e accessori > Bambini > Bambino > Abbigliamento (2-16 anni) > Abbigliamento sportivo > Pantaloni"
260971,"Abbigliamento e accessori > Bambini > Bambino > Abbigliamento (2-16 anni) > Abbigliamento sportivo > Parte alta"
260973,"Abbigliamento e accessori > Bambini > Bambino > Abbigliamento (2-16 anni) > Abbigliamento sportivo > Tute e set"
99754,"Abbigliamento e accessori > Bambini > Bambino > Abbigliamento (2-16 anni) > Abiti completi"
15615,"Abbigliamento e accessori > Bambini > Bambino > Abbigliamento (2-16 anni) > Bermuda"
84544,"Abbigliamento e accessori > Bambini > Bambino > Abbigliamento (2-16 anni) > Biancheria da notte"
153564,"Abbigliamento e accessori > Bambini > Bambino > Abbigliamento (2-16 anni) > Calze"
51933,"Abbigliamento e accessori > Bambini > Bambino > Abbigliamento (2-16 anni) > Cappotti, giacche e gilet"
156790,"Abbigliamento e accessori > Bambini > Bambino > Abbigliamento (2-16 anni) > Completi e set"
57916,"Abbigliamento e accessori > Bambini > Bambino > Abbigliamento (2-16 anni) > Felpe"
28016,"Abbigliamento e accessori > Bambini > Bambino > Abbigliamento (2-16 anni) > Grembiuli e divise"
51973,"Abbigliamento e accessori > Bambini > Bambino > Abbigliamento (2-16 anni) > Intimo"
77475,"Abbigliamento e accessori > Bambini > Bambino > Abbigliamento (2-16 anni) > Jeans"
51946,"Abbigliamento e accessori > Bambini > Bambino > Abbigliamento (2-16 anni) > Maglioni e cardigan"
51919,"Abbigliamento e accessori > Bambini > Bambino > Abbigliamento (2-16 anni) > Mare e piscina"
51920,"Abbigliamento e accessori > Bambini > Bambino > Abbigliamento (2-16 anni) > Pantaloni"
260966,"Abbigliamento e accessori > Bambini > Bambino > Abbigliamento (2-16 anni) > T-shirt, maglie e camicie"
122320,"Abbigliamento e accessori > Bambini > Bambino > Accessori > Bretelle"
57884,"Abbigliamento e accessori > Bambini > Bambino > Accessori > Cappelli"
57883,"Abbigliamento e accessori > Bambini > Bambino > Accessori > Cinture e fibbie"
57886,"Abbigliamento e accessori > Bambini > Bambino > Accessori > Cravatte"
57885,"Abbigliamento e accessori > Bambini > Bambino > Accessori > Guanti e muffole"
131411,"Abbigliamento e accessori > Bambini > Bambino > Accessori > Occhiali da sole"
